date,username,fullname,tweet_id,retweet_count,tweet,favorite_count,sentimiento
2017-03-31 23:32:03,@PedritoExtranja,Pedrito Grana,8.47954675483767E+017,375,"Si no gana Lasso debo volver al exilio.
Yo, q no he cometido ningún crimen vivo huyendo de hijos de pederastas q se mueren x matarme.",242,2
2017-03-31 23:59:52,@gladys_con_y,Gladys 🦋,8.47961676293055E+017,1,Porque Lasso Lasso es Cambio Cambio!!!  ,1,2
2017-03-31 23:58:23,@110010010011010,Pouer,8.47961301578109E+017,0,Si fuese ecuatoriano votaría por Ralph Lasso. #EleccionesEc2017 ,0,2
2017-03-31 23:57:56,@Collaguazon,Candidato corrupto,8.47961189325918E+017,6,"Espero Lasso - Páez que ustedes no sean caídos de la hamaca, vamos a votar por ustedes, ya queda en ustedes hacer respetar nuestro voto.  ",2,2
2017-03-31 23:55:58,@eldeap,edwin alvarez,8.47960692607119E+017,0,"Totalmente de acuerdo, los votos de la oposición se suman a Lasso.  ",0,2
2017-03-31 23:55:52,@LuisPesantes15,Luis Pesantes,8.47960670343766E+017,9,Ayer en el MULTITUDINARIO Cierre de campaña. SE VIENE EL CAMBIO !. LASSO Y PAEZ AL GOBIERNO.   Y el domingo a cuidar el voto.  ,8,2
2017-03-31 23:55:47,@Collaguazon,Candidato corrupto,8.47960649238032E+017,6,"Vox populi ya están miles de papeletas a favor de Lenin, lo dice gente de adentro. Lasso - Páez vamos a votar por uds, cuiden nuestro voto  ",1,2
2017-03-31 23:54:11,@GianninaChiribo,Giannina Chiriboga,8.47960247062987E+017,0,"El troll center no representa el sentir de los ecuatorianos, borrega asalariada, FUERA SICIALISMO DEL SIGLO XXI, LASSO PRESIDENTE.",1,2
2017-03-31 23:53:51,@whernandezb,Walter Hernandez B,8.47960161855713E+017,1,Si no gana Lasso el Ecuador no será más que una guarida de oportunistas tambien tendré que buscar un país que me brinde una oportunidad,6,2
2017-03-31 23:53:27,@pepelasso,Jose Lasso,8.479600617209E+017,0,Estos actúan agazapados en la noche no conocen lo que hombría de bien contra estas mafias debemos luchar Lasso presidente  ,1,2
2017-03-31 23:49:02,@gvig1986,HayEsperanza,8.47958947449512E+017,0,"Ud sabe perfectamente que @LassoGuillermo es incapaz de hacer esas cosas, el si tiene moral y ética, no como otros..",0,2
2017-03-31 23:48:58,@1Aquin,Israel Aquín,8.47958933667017E+017,0,"#LeninEsViolencia por #WhatsApp joden con sus cadenas, ya le dije voto por @LassoGuillermo  ",0,2
2017-03-31 23:48:06,@gobernadorsur,Danilo Acosta,8.47958715659629E+017,0,solidaridad señor Lasso  y rechazo a los contratados para agredir a Ecuatorianos. que pobreza y cobardía de estos infames  ,0,2
2017-03-31 23:45:36,@marielamona70,Sanducherita,8.47958085671035E+017,0,A mi también me convencieron hoy tres veces a q vote por Lasso.  ,1,2
2017-03-31 23:42:39,@mcdc_mcdc,Ma.Carola,8.47957344914989E+017,2,"Le mostraré a los indecisos q conozco, cómo este candidato nos amenaza d muerte. Gracias por darnos otra razón para votar X @LassoGuillermo  ",0,2
2017-03-31 23:39:47,@ciclista56,jorge ivan andrade,8.47956622865465E+017,0,No colega tengamos confianza en que Lasso ganará  ,0,2
2017-03-31 23:38:50,@ilpopulo,Alejandro Enrique,8.4795638223829E+017,0,"Esto es lo que representan correa floja y Lenincuente. Ecuador despierta, no es un cuento es una tragedia. Vamos por el cambio! Lasso Presid  ",0,2
2017-03-31 23:36:08,@ssanchezcarrero,SilviaSánchezCarrero,8.47955701221786E+017,0,Últimas declaraciones Canciller ecuatoriano (Ecuador no es Vzla) nos hacen pensar que próximo Pdte de Ecuador puede ser el opositor Lasso,0,2
2017-03-31 23:35:24,@JonaRc27,Jo-na-th-an,8.47955516479373E+017,0,Bueno tocará votar por el salado de lasso !,0,2
2017-03-31 23:34:42,@Elvismayon,Elvis Mayon Ruiz,8.47955340222247E+017,6,Belleza @LassoGuillermo Todo Ecuador está contigo El domingo 2 de abril acabaremos con el correismo #LassoEsCambio #LassoPresidente ,8,2
2017-03-31 23:34:08,@GianninaChiribo,Giannina Chiriboga,8.47955199763386E+017,0,"Lo que diga el troll center no representa la voluntad de los ecuatorianos, vaga anda a trabajar, FUERA ALIANZA PAÍS FUERA, LASSO PRESIDENTE",6,2
2017-03-31 23:33:00,@RenunciaCorrea,BASTA DE IMPUNIDAD,8.47954914508775E+017,25,"91% de votantes tuiteros exigen q @LassoGuillermo sea Presidente de la República del Ecuador el 2 de Abril, 2017 @Molitv @juanPabloPozoB ",16,2
2017-03-31 23:32:45,@RickBriones,Rick Briones,8.47954851459936E+017,0,Ecuador! #VamosPorElCambio @LassoGuillermo presidente,0,2
2017-03-31 23:31:21,@alejocepedae,Alejandro Cepeda,8.47954500149183E+017,0,"Para los tiranos, secuestrar la democracia es un trofeo
Con Lasso y Páez  se garantiza la democracia",0,2
2017-03-31 23:31:16,@dannyed77,Danny Torres,8.4795447735738E+017,0,NO SE SI PARECE O ES MI IDEA PERO LOS DE ALIANZA PAÍS PARECEN ESTAR DESESPERADOS @LassoGuillermo @CesarMongeO @andrespaezec @fernandobalda,0,2
2017-03-31 23:28:49,@jeanjamal2017,jeanjamal,8.4795386301773E+017,0,"ya saben el 2 de abril es todo ,votaremos por lasso  ",0,2
2017-03-31 23:27:58,@yolyalbuja,Yolanda Albuja,8.47953647459873E+017,0,Santo Padre necesita tus oraciones para #Elecciones2017EC Necesitamos un milagro este domingo y la bendición de Dios @LassoGuillermo  ,0,2
2017-03-31 23:27:02,@SaloGuardione,Mª Salomé Guardione,8.47953411941315E+017,8,"Y la victoria de Lasso es inminente. 
Que bello, que bonito.  ",0,2
2017-03-31 23:25:38,@CIVM1010,CIVM,8.47953059074519E+017,0,"Chéveres los perritos, el d la mitad daña a la foto, hasta en eso se ve superado  el domingo @LassoGuillermo Presidente ",0,2
2017-03-31 23:25:14,@laulauryg,Laura,8.47952961384964E+017,3,Igualmente en Quito ellos están por Lasso!!  ,0,2
2017-03-31 23:24:23,@walther_wa,Waz,8.47952744157782E+017,0,No engañes eso es tacticas solo de Atraca Pais @LassoGuillermo jamas mandaria hacer algo asi ustedes verdes estan deseperados y se les nota,0,2
2017-03-31 23:17:44,@EricMosvel,Eric Mosvel  🏴,8.47951074053034E+017,0,Este finde d semana será glorioso! Mañana sábado la marcha será un éxito y el domingo ganará Lasso en Ecuador. #DeusVolt #DiosMediante.,0,2
2017-03-31 23:15:10,@VenezuelaNOdesm,VenezuelaNOdesmayes,8.47950424829297E+017,7,".@PATRUCA81 .@LassoGuillermo :El ignorante dictadorzuelo  da 1 golpe de estado o autogolpe y ahora llama al pueblo,q no tiene para evitar  ",0,2
2017-03-31 23:13:19,@GegeRpz,GéGé,8.47949960607826E+017,73,"No acudirá porque Victoria de Lasso es inminente, y de ahí el Comunicado de #Ecuador diciendo que hay #GolpeDeEstado en #Venezuela ",22,2
2017-03-31 23:10:32,@FraOrion0707,Frank 007,8.4794926081765E+017,2,Ya tienen q parar estos miren los ecuatorianos indecisos para qno pase en Ecuador todos con Lasso,1,2
2017-03-31 23:09:06,@clozada59,Beba Lecuna,8.47948899247694E+017,0,yo deseo q después d ver lo q está pasando en mi país votarán x Lasso q voten c/conciencia y pensando en ejemplo vivo al lado de sus puertas  ,0,2
2017-03-31 23:09:03,@michaelbaby30,MICHAEL NICOLA  🇪🇨,8.47948887562355E+017,1,Los mejores artistas d #ECUADOR respaldan a @LassoGuillermo @Mirellamusic @juanfervelasco @DaniloCarrera @Nikkimackliff @MLAlcivar @LassoSX,1,2
2017-03-31 23:06:36,@JuanAnton17,Juan Anton,8.47948272329249E+017,0,Es el momento de cambiar un madurazo a futuro por un @LassoGuillermo con un futuro mejor #VamosPorElCambio ,1,2
2017-03-31 23:05:02,@LibertadXD,Mis Comentarios,8.47947875548107E+017,5,SI LOS ECUATORIANOS TIENEN MEMORIA JAMÁS PREFERIRÁN COMUNISMO A LIBERTAD... QUÉ VIVA LA PATRIA Y A VOTAR POR GUILLERMO LASSO  ,1,2
2017-03-31 23:04:54,@Mleonorvg,Mlvg,8.47947842299757E+017,1,@LassoGuillermo no haría ese tipo de campaña jamás.Lasso ha demostrado ser un caballero.No se puede decir lo mismo de los AP #LassoEsCambio,1,2
